,time_stamp,fault,joint,pose,offset,time,time_label,drop_rate,mean,sd
183,1970-01-01 00:00:38.523,1,5,6,1,2,3,1,2.7200000286102295,1.4900000095367432
184,1970-01-01 00:02:34.756,3,4,6,3,1,3,2,-4.150000095367432,4.710000038146973
185,1970-01-01 00:03:54.732,2,6,3,1,1,2,2,-0.9599999785423279,1.350000023841858
186,1970-01-01 00:05:41.841,4,0,2,4,2,2,1,4.800000190734863,2.4000000953674316
187,1970-01-01 00:06:59.810,1,1,3,5,3,3,1,-2.309999942779541,5.0
188,1970-01-01 00:08:15.005,4,6,1,5,2,3,2,1.309999942779541,2.799999952316284
189,1970-01-01 00:09:32.643,2,5,3,4,3,3,3,-2.200000047683716,2.7799999713897705
190,1970-01-01 00:00:35.332,3,7,5,4,2,3,2,4.230000019073486,1.6200000047683716
191,1970-01-01 00:02:12.241,1,5,8,1,1,3,1,2.109999895095825,4.880000114440918
192,1970-01-01 00:03:27.274,2,8,5,5,3,2,3,-2.7200000286102295,2.609999895095825
193,1970-01-01 00:04:54.674,3,0,6,3,3,3,1,4.639999866485596,3.609999895095825
194,1970-01-01 00:06:15.239,4,8,6,2,2,2,3,-2.430000066757202,1.9700000286102295
195,1970-01-01 00:07:25.206,2,3,1,1,1,3,2,-3.569999933242798,3.6700000762939453
196,1970-01-01 00:08:47.672,3,7,6,5,3,2,3,4.079999923706055,3.119999885559082
197,1970-01-01 00:00:36.093,3,3,5,5,1,3,3,4.5,3.0199999809265137
198,1970-01-01 00:02:09.939,4,5,2,4,1,3,1,-3.200000047683716,4.150000095367432
199,1970-01-01 00:03:22.474,4,5,6,5,3,3,2,-2.8299999237060547,4.679999828338623
200,1970-01-01 00:05:16.706,2,0,5,5,2,2,3,-2.5899999141693115,1.6299999952316284
201,1970-01-01 00:06:38.774,1,5,7,1,3,3,3,-2.9800000190734863,4.050000190734863
202,1970-01-01 00:07:53.365,3,2,2,1,2,3,1,2.6600000858306885,3.9200000762939453
203,1970-01-01 00:00:34.060,4,0,3,3,2,3,2,-1.2300000190734863,2.569999933242798
204,1970-01-01 00:02:09.339,1,0,7,3,2,2,2,3.6700000762939453,3.9700000286102295
205,1970-01-01 00:03:26.509,1,8,7,1,1,3,3,-3.609999895095825,4.239999771118164
206,1970-01-01 00:04:54.067,4,1,2,5,3,3,2,-4.150000095367432,2.5
207,1970-01-01 00:06:44.047,2,2,7,1,1,2,3,3.5899999141693115,1.3300000429153442
208,1970-01-01 00:08:02.588,2,2,2,2,1,2,3,3.119999885559082,2.119999885559082
209,1970-01-01 00:09:27.696,4,3,7,4,3,3,2,-1.5199999809265137,4.78000020980835
210,1970-01-01 00:00:37.251,4,1,9,1,2,3,2,-1.0499999523162842,4.889999866485596
211,1970-01-01 00:02:09.903,2,1,4,4,3,3,2,0.8799999952316284,3.180000066757202
212,1970-01-01 00:03:24.239,3,8,7,1,1,2,1,-2.640000104904175,3.640000104904175
213,1970-01-01 00:04:52.102,3,5,1,4,2,2,2,4.630000114440918,3.630000114440918
214,1970-01-01 00:06:12.167,4,2,2,4,1,3,1,2.190000057220459,4.730000019073486
215,1970-01-01 00:08:14.153,1,8,6,5,2,3,2,-3.4700000286102295,4.909999847412109
216,1970-01-01 00:10:22.038,1,8,5,2,1,3,3,2.680000066757202,4.320000171661377
