time,.data
1970/01/01/01:00:36.100000,False
1970/01/01/01:00:36.134000,False
1970/01/01/01:00:36.167000,False
1970/01/01/01:00:36.200000,False
1970/01/01/01:00:36.234000,False
1970/01/01/01:00:36.268000,False
1970/01/01/01:00:36.300000,False
1970/01/01/01:00:36.335000,False
1970/01/01/01:00:36.367000,False
1970/01/01/01:00:36.400000,False
1970/01/01/01:00:36.434000,False
1970/01/01/01:00:36.467000,False
1970/01/01/01:00:36.500000,False
1970/01/01/01:00:36.534000,False
1970/01/01/01:00:36.567000,False
1970/01/01/01:00:36.600000,False
1970/01/01/01:00:36.634000,False
1970/01/01/01:00:36.667000,False
1970/01/01/01:00:36.700000,False
1970/01/01/01:00:36.734000,False
1970/01/01/01:00:36.767000,False
1970/01/01/01:00:36.800000,False
1970/01/01/01:00:36.834000,False
1970/01/01/01:00:36.867000,False
1970/01/01/01:00:36.900000,False
1970/01/01/01:00:36.934000,False
1970/01/01/01:00:36.967000,False
1970/01/01/01:00:37.000000,False
1970/01/01/01:00:37.034000,False
1970/01/01/01:00:37.067000,False
1970/01/01/01:00:37.100000,False
1970/01/01/01:00:37.134000,False
1970/01/01/01:00:37.167000,False
1970/01/01/01:00:37.200000,False
1970/01/01/01:00:37.234000,False
1970/01/01/01:00:37.267000,False
1970/01/01/01:00:37.300000,False
1970/01/01/01:00:37.334000,False
1970/01/01/01:00:37.367000,False
1970/01/01/01:00:37.400000,False
1970/01/01/01:00:37.434000,False
1970/01/01/01:00:37.468000,False
1970/01/01/01:00:37.501000,False
1970/01/01/01:00:37.535000,False
1970/01/01/01:00:37.567000,False
1970/01/01/01:00:37.600000,False
1970/01/01/01:00:37.635000,False
1970/01/01/01:00:37.668000,False
1970/01/01/01:00:37.700000,False
1970/01/01/01:00:37.734000,False
1970/01/01/01:00:37.767000,False
1970/01/01/01:00:37.800000,False
1970/01/01/01:00:37.835000,False
1970/01/01/01:00:37.867000,False
1970/01/01/01:00:37.900000,False
1970/01/01/01:00:37.934000,False
1970/01/01/01:00:37.967000,False
1970/01/01/01:00:38.000000,False
1970/01/01/01:00:38.034000,False
1970/01/01/01:00:38.067000,False
1970/01/01/01:00:38.100000,False
1970/01/01/01:00:38.134000,False
1970/01/01/01:00:38.167000,False
1970/01/01/01:00:38.200000,False
